,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1233,,,,,,,,,,,12.0,0.0,8.0,1640.0,1622.0,702.0
AT,,,,,802.0,2020.0,16607.0,23686.0,40323.0,1570.0,23.0,3266.0,14261.0,14028.0,13385.0,3686.0
Aa1388zz,,,,,,,,,,3.0,0.0,1491.0,1994.0,1449.0,1355.0,3.0
Abacn,,,,,,,,,,59.0,807.0,78.0,108.0,121.0,4626.0,96.0
Adsa562,,,,,,,,,,1.0,0.0,115.0,294.0,173.0,278.0,182.0
Alexander_Misel,,,,,,,,,3.0,4.0,127.0,332.0,5020.0,4867.0,3531.0,636.0
Alexchris,,,,18.0,2522.0,1938.0,213.0,1247.0,5435.0,51312.0,782.0,253.0,101.0,708.0,4401.0,199.0
Alexsh,,,,5396.0,4024.0,2170.0,211.0,42.0,38.0,217.0,9.0,10.0,14.0,16.0,22.0,1.0
An_Macanese,,,,,114.0,309.0,824.0,802.0,736.0,179.0,337.0,235.0,114.0,110.0,170.0,24.0
AndyAndyAndyAlbert,,,,,,,,,,,,,,,7590.0,2600.0
Antigng,,,,,,,,,,,,,11800.0,13318.0,10106.0,1604.0
Aotfs2013,,,,,,,,,,,,1634.0,1367.0,1795.0,8076.0,291.0
ArthurLau1997,,,,,,,,,,,,,,,1604.0,693.0
Artoria2e5,,,,,,,,,,14.0,163.0,474.0,153.0,1870.0,2946.0,61.0
ArvinTing,,,,,,,,,,50.0,568.0,320.0,1025.0,975.0,302.0,46.0
Asdfugil,,,,,,,,,,,,1088.0,151.0,555.0,1126.0,35.0
AsharaDayne,,,,,,,,,,,,5046.0,19738.0,16214.0,9619.0,6433.0
B_dash,,,,,,,,,,,,1345.0,2460.0,5500.0,13785.0,2450.0
BakaChinatsu,,,,,,,,,,,,,370.0,108.0,867.0,6.0
Baycrest,,,,7.0,6224.0,4699.0,846.0,379.0,158.0,93.0,126.0,23.0,4.0,480.0,448.0,52.0
Beta_Lohman,,,,,,,,,,,,,,432.0,459.0,469.0
Billytanghh,,,,42.0,1853.0,268.0,120.0,113.0,165.0,34.0,75.0,133.0,8252.0,5964.0,1698.0,298.0
Bluedeck,,,,,,,,,,20.0,6241.0,6430.0,11444.0,3196.0,20837.0,9255.0
Bowleerin,,,,,,,,,,,,,1363.0,1123.0,287.0,16.0
Bxxiaolin,,,,,,,,,2.0,83.0,1676.0,5577.0,6672.0,7879.0,6443.0,1040.0
Ch.Andrew,,,,,317.0,3097.0,721.0,454.0,1193.0,966.0,399.0,150.0,5.0,28.0,33.0,12.0
Chinuan12623,,,,,,,,,,1111.0,2617.0,2296.0,1041.0,2535.0,3772.0,1384.0
Choihei,,,,,2139.0,714.0,98.0,90.0,2626.0,5859.0,3480.0,2264.0,1538.0,4243.0,4514.0,20.0
Clear_Sky_C,,,,,,,,,,,,,78.0,5783.0,7675.0,0.0
CopperSulfate,,,,,,,,,,,,,,242.0,3324.0,611.0
Cp111,,,,950.0,3324.0,6247.0,5785.0,4545.0,8420.0,3229.0,1807.0,855.0,1969.0,1820.0,1772.0,347.0
Cwek,,,,,,,,11.0,2946.0,14526.0,8507.0,9871.0,7247.0,8710.0,8158.0,1988.0
Dargasea,,,,,,,,,,,,,1.0,242.0,1087.0,0.0
Datou_1996,,,,,,,,,,,,,4.0,3731.0,13499.0,549.0
Davidzdh,,,,,,,,,,14.0,1541.0,2441.0,1264.0,735.0,672.0,121.0
DeBit,,,,,,,,,190.0,372.0,2043.0,552.0,108.0,24.0,8.0,3.0
Dingruogu,,12.0,6.0,0.0,0.0,0.0,109.0,11.0,6.0,2858.0,17.0,0.0,1.0,474.0,113.0,335.0
Dqwyy,,,,,,,,,,,,,,1380.0,2136.0,675.0
DreamLiner,,,,,,,,,,102.0,10338.0,3660.0,2301.0,3513.0,506.0,21.0
E8xE8,,,,,,,,,,,1537.0,1557.0,866.0,299.0,477.0,223.0
Eland_Zhou,,,,,,,,,,,219.0,5196.0,184.0,167.0,14.0,1.0
Eric850130,,,,,,,,,,105.0,10.0,378.0,2533.0,1976.0,1051.0,64.0
Erquanmen,,,,,,,,,3.0,59.0,56.0,487.0,138.0,242.0,172.0,278.0
FRDian,,,,,,,,,,,,153.0,1331.0,2851.0,820.0,61.0
Fayhoo,,,,5.0,1.0,4.0,157.0,215.0,331.0,404.0,2764.0,6447.0,4126.0,1586.0,2158.0,305.0
Ffaarr,,,22227.0,14826.0,1276.0,1158.0,692.0,1374.0,923.0,683.0,1685.0,274.0,66.0,89.0,505.0,126.0
FireFeather,,,,,,,,,,,,,2160.0,948.0,3009.0,705.0
ForwardXu,,,,,,,,,,,,12.0,211.0,2327.0,324.0,22.0
Francotsangfh,,,,,,,,,,,,,,1076.0,22209.0,4464.0
Gakmo,62.0,1455.0,1912.0,1805.0,1343.0,1135.0,305.0,1529.0,8110.0,4386.0,5235.0,4432.0,675.0,201.0,81.0,1.0
Galaxyharrylion,,,,1915.0,4506.0,856.0,46.0,248.0,1205.0,217.0,600.0,377.0,40.0,3194.0,845.0,266.0
Gszq,,,,,,,,,53.0,0.0,1.0,6.0,715.0,177.0,131.0,123.0
H2244932,,,,,,,,,,,,,,3366.0,2176.0,291.0
Hal_0005,,,,,,,,,,,8.0,34.0,12.0,0.0,1655.0,1633.0
Hamishcn,,,,,,,,,,,,,,,3513.0,52.0
Happy60907,,,,,,,172.0,2568.0,2383.0,68.0,46.0,17.0,40.0,710.0,2267.0,333.0
Hat600,,,,,,118.0,7619.0,5985.0,4412.0,10635.0,4311.0,2796.0,2032.0,2673.0,1631.0,401.0
Hikaruangeel,,,,,,,,,,,,489.0,29.0,0.0,3409.0,43.0
Howbunbun,,,,,,,,,,,,,,251.0,1297.0,138.0
Huihengchen,,,,,,,6.0,26.0,0.0,1.0,39.0,133.0,37.0,41.0,169.0,13.0
IMJENRY,,,,,,,,,,,,108.0,1159.0,1948.0,3801.0,246.0
Iokseng,,,,8276.0,9261.0,5769.0,5204.0,9907.0,12959.0,23200.0,13998.0,11377.0,24308.0,18441.0,19543.0,3521.0
Irc782,,,,,,,,,,,174.0,13.0,0.0,41.0,149.0,9.0
It's_gonna_be_awesome,,,,,,,,,,,,6.0,0.0,1046.0,15362.0,3962.0
Itsminecookies,,1.0,3591.0,8466.0,4254.0,479.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0
Jacklamf1d14,,,,,,,,,,,1031.0,4216.0,5741.0,3832.0,4392.0,1023.0
Jane9306,,,,,,,,,,,,,,20.0,384.0,505.0
Jarl_Sverre,,,,9.0,145.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,376.0,1213.0,217.0
Jarodalien,,,,,,,,9.0,20.0,50.0,19508.0,19292.0,27056.0,25509.0,2538.0,0.0
Jason22,,,103.0,2328.0,4836.0,2185.0,512.0,1749.0,4346.0,1239.0,1150.0,592.0,54.0,68.0,1451.0,106.0
Jasonzhuocn,,706.0,2071.0,3535.0,5046.0,1768.0,3265.0,5225.0,1491.0,1196.0,1065.0,238.0,5957.0,3900.0,270.0,27.0
Jessicat830,,,,,,,,,,,,,,572.0,106.0,79.0
Jimmy_Xu,,,,,,506.0,9059.0,2797.0,4684.0,9322.0,8625.0,5485.0,4125.0,2158.0,71.0,3.0
Jimmy_wiki,,,,,,,,,,,,,,194.0,771.0,102.0
John123521,,,,530.0,587.0,406.0,698.0,256.0,393.0,411.0,319.0,279.0,1671.0,2800.0,1475.0,238.0
John_doe_120,,,,,,,,,,,,,,830.0,548.0,194.0
Joshua_Zhan,,,,,,,,,,,,,,4512.0,15049.0,3373.0
Joylintp,,,,,,,,,,,,11.0,148.0,11.0,10.0,0.0
