,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1233,,,,,,,,,,,7.0,0.0,8.0,628.0,677,285
AT,,,,,660.0,1014.0,5429.0,7410.0,29823.0,977.0,13.0,1710.0,8801.0,6691.0,6120,1356
Aa1388zz,,,,,,,,,,3.0,0.0,1235.0,1232.0,817.0,743,3
Abacn,,,,,,,,,,55.0,606.0,67.0,98.0,100.0,4297,69
Adsa562,,,,,,,,,,1.0,0.0,69.0,112.0,74.0,145,81
Alexander_Misel,,,,,,,,,3.0,4.0,119.0,291.0,2137.0,2381.0,1601,329
Alexchris,,,,18.0,2370.0,1779.0,171.0,908.0,2913.0,48550.0,380.0,208.0,99.0,535.0,2485,170
Alexsh,,,,1817.0,956.0,394.0,87.0,20.0,26.0,210.0,7.0,2.0,11.0,12.0,20,1
An_Macanese,,,,,77.0,269.0,471.0,381.0,394.0,104.0,251.0,166.0,99.0,90.0,143,24
AndyAndyAndyAlbert,,,,,,,,,,,,,,,3058,866
Antigng,,,,,,,,,,,,,4940.0,4153.0,3142,279
Aotfs2013,,,,,,,,,,,,1030.0,849.0,1156.0,2889,67
ArthurLau1997,,,,,,,,,,,,,,,855,346
Artoria2e5,,,,,,,,,,2.0,62.0,213.0,93.0,632.0,1045,31
ArvinTing,,,,,,,,,,45.0,452.0,308.0,963.0,897.0,237,45
Asdfugil,,,,,,,,,,,,542.0,106.0,347.0,424,19
AsharaDayne,,,,,,,,,,,,4371.0,16725.0,13990.0,8964,4857
B_dash,,,,,,,,,,,,1128.0,1680.0,1532.0,3844,659
BakaChinatsu,,,,,,,,,,,,,175.0,40.0,432,4
Baycrest,,,,4.0,4200.0,2778.0,452.0,120.0,58.0,27.0,2.0,0.0,0.0,256.0,205,36
Beta_Lohman,,,,,,,,,,,,,,142.0,120,147
Billytanghh,,,,37.0,652.0,127.0,95.0,45.0,134.0,32.0,61.0,120.0,3238.0,1895.0,790,139
Bluedeck,,,,,,,,,,5.0,2253.0,1533.0,798.0,371.0,845,55
Bowleerin,,,,,,,,,,,,,571.0,221.0,30,8
Bxxiaolin,,,,,,,,,2.0,73.0,1486.0,4656.0,5638.0,6772.0,5371,823
Ch.Andrew,,,,,216.0,1336.0,149.0,93.0,135.0,256.0,114.0,68.0,4.0,15.0,14,8
Chinuan12623,,,,,,,,,,428.0,1119.0,677.0,789.0,1184.0,473,78
Choihei,,,,,1494.0,469.0,81.0,58.0,1361.0,2463.0,803.0,229.0,733.0,560.0,313,18
Clear_Sky_C,,,,,,,,,,,,,58.0,3163.0,3847,0
CopperSulfate,,,,,,,,,,,,,,82.0,1694,220
Cp111,,,,854.0,2599.0,3725.0,3038.0,2236.0,5635.0,1666.0,556.0,220.0,739.0,588.0,602,64
Cwek,,,,,,,,11.0,1541.0,7090.0,4267.0,5039.0,4311.0,4922.0,4079,1156
Dargasea,,,,,,,,,,,,,1.0,90.0,245,0
Datou_1996,,,,,,,,,,,,,1.0,2473.0,10305,484
Davidzdh,,,,,,,,,,7.0,1052.0,1734.0,971.0,590.0,431,92
DeBit,,,,,,,,,120.0,198.0,896.0,345.0,59.0,12.0,5,3
Dingruogu,,4.0,2.0,0.0,0.0,0.0,54.0,10.0,6.0,1409.0,6.0,0.0,1.0,253.0,70,96
Dqwyy,,,,,,,,,,,,,,331.0,638,346
DreamLiner,,,,,,,,,,99.0,3922.0,1258.0,910.0,1382.0,301,16
E8xE8,,,,,,,,,,,982.0,948.0,571.0,217.0,304,180
Eland_Zhou,,,,,,,,,,,141.0,2084.0,25.0,26.0,6,0
Eric850130,,,,,,,,,,102.0,10.0,316.0,1712.0,907.0,575,35
Erquanmen,,,,,,,,,2.0,57.0,35.0,245.0,39.0,61.0,72,111
FRDian,,,,,,,,,,,,93.0,465.0,887.0,227,31
Fayhoo,,,,4.0,1.0,4.0,110.0,185.0,204.0,294.0,1126.0,4324.0,3426.0,1382.0,1928,266
Ffaarr,,,14663.0,8518.0,634.0,515.0,232.0,447.0,280.0,219.0,646.0,57.0,23.0,78.0,462,51
FireFeather,,,,,,,,,,,,,1219.0,474.0,1954,173
ForwardXu,,,,,,,,,,,,9.0,138.0,1219.0,121,11
Francotsangfh,,,,,,,,,,,,,,1069.0,9854,1236
Gakmo,56.0,1002.0,712.0,624.0,617.0,630.0,198.0,755.0,2362.0,1380.0,1570.0,1418.0,301.0,112.0,37,0
Galaxyharrylion,,,,1533.0,3387.0,739.0,41.0,212.0,880.0,180.0,481.0,302.0,33.0,340.0,89,21
