,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,8.0,1640.0,1622,719
AT,0.0,0.0,0.0,0.0,802.0,2020.0,16607.0,23686.0,40323.0,1570.0,23.0,3266.0,14261.0,14028.0,13385,3691
Aa1388zz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1491.0,1994.0,1449.0,1355,3
Abacn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,807.0,78.0,108.0,121.0,4626,96
Adsa562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,115.0,294.0,173.0,278,182
Alexander_Misel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,127.0,332.0,5020.0,4867.0,3531,642
Alexchris,0.0,0.0,0.0,18.0,2522.0,1938.0,213.0,1247.0,5435.0,51312.0,782.0,253.0,101.0,708.0,4401,199
Alexsh,0.0,0.0,0.0,5396.0,4024.0,2170.0,211.0,42.0,38.0,217.0,9.0,10.0,14.0,16.0,22,1
An_Macanese,0.0,0.0,0.0,0.0,114.0,309.0,824.0,802.0,736.0,179.0,337.0,235.0,114.0,110.0,170,24
AndyAndyAndyAlbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7590,2632
Antigng,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11800.0,13318.0,10106,1608
Aotfs2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634.0,1367.0,1795.0,8076,291
ArthurLau1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604,693
Artoria2e5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,163.0,474.0,153.0,1870.0,2946,61
ArvinTing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,568.0,320.0,1025.0,975.0,302,46
Asdfugil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,151.0,555.0,1126,35
AsharaDayne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5046.0,19738.0,16214.0,9619,6433
B_dash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1345.0,2460.0,5500.0,13785,2497
BakaChinatsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,108.0,867,6
Baycrest,0.0,0.0,0.0,7.0,6224.0,4699.0,846.0,379.0,158.0,93.0,126.0,23.0,4.0,480.0,448,52
Beta_Lohman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,459,469
Billytanghh,0.0,0.0,0.0,42.0,1853.0,268.0,120.0,113.0,165.0,34.0,75.0,133.0,8252.0,5964.0,1698,298
Bluedeck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,6241.0,6430.0,11444.0,3196.0,20837,9287
Bowleerin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1363.0,1123.0,287,16
Bxxiaolin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,83.0,1676.0,5577.0,6672.0,7879.0,6443,1047
Ch.Andrew,0.0,0.0,0.0,0.0,317.0,3097.0,721.0,454.0,1193.0,966.0,399.0,150.0,5.0,28.0,33,12
Chinuan12623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.0,2617.0,2296.0,1041.0,2535.0,3772,1390
Choihei,0.0,0.0,0.0,0.0,2139.0,714.0,98.0,90.0,2626.0,5859.0,3480.0,2264.0,1538.0,4243.0,4514,20
Clear_Sky_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,5783.0,7675,0
CopperSulfate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,3324,611
Cp111,0.0,0.0,0.0,950.0,3324.0,6247.0,5785.0,4545.0,8420.0,3229.0,1807.0,855.0,1969.0,1820.0,1772,347
Cwek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2946.0,14526.0,8507.0,9871.0,7247.0,8710.0,8158,2046
Dargasea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,242.0,1087,0
Datou_1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3731.0,13499,557
Davidzdh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1541.0,2441.0,1264.0,735.0,672,132
DeBit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,372.0,2043.0,552.0,108.0,24.0,8,3
Dingruogu,0.0,12.0,6.0,0.0,0.0,0.0,109.0,11.0,6.0,2858.0,17.0,0.0,1.0,474.0,113,335
Dqwyy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.0,2136,686
DreamLiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,10338.0,3660.0,2301.0,3513.0,506,21
E8xE8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1537.0,1557.0,866.0,299.0,477,225
Eland_Zhou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,5196.0,184.0,167.0,14,1
Eric850130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,10.0,378.0,2533.0,1976.0,1051,64
Erquanmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,59.0,56.0,487.0,138.0,242.0,172,281
FRDian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,1331.0,2851.0,820,61
Fayhoo,0.0,0.0,0.0,5.0,1.0,4.0,157.0,215.0,331.0,404.0,2764.0,6447.0,4126.0,1586.0,2158,305
Ffaarr,0.0,0.0,22227.0,14826.0,1276.0,1158.0,692.0,1374.0,923.0,683.0,1685.0,274.0,66.0,89.0,505,127
FireFeather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,948.0,3009,705
ForwardXu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,211.0,2327.0,324,22
Francotsangfh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076.0,22209,4485
Gakmo,62.0,1455.0,1912.0,1805.0,1343.0,1135.0,305.0,1529.0,8110.0,4386.0,5235.0,4432.0,675.0,201.0,81,1
Galaxyharrylion,0.0,0.0,0.0,1915.0,4506.0,856.0,46.0,248.0,1205.0,217.0,600.0,377.0,40.0,3194.0,845,266
Gszq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,1.0,6.0,715.0,177.0,131,123
H2244932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3366.0,2176,307
Hal_0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,34.0,12.0,0.0,1655,1650
Hamishcn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3513,52
Happy60907,0.0,0.0,0.0,0.0,0.0,0.0,172.0,2568.0,2383.0,68.0,46.0,17.0,40.0,710.0,2267,363
Hat600,0.0,0.0,0.0,0.0,0.0,118.0,7619.0,5985.0,4412.0,10635.0,4311.0,2796.0,2032.0,2673.0,1631,403
Hikaruangeel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489.0,29.0,0.0,3409,43
Howbunbun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,1297,138
Huihengchen,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,0.0,1.0,39.0,133.0,37.0,41.0,169,13
IMJENRY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,1159.0,1948.0,3801,248
Iokseng,0.0,0.0,0.0,8276.0,9261.0,5769.0,5204.0,9907.0,12959.0,23200.0,13998.0,11377.0,24308.0,18441.0,19543,3524
Irc782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,13.0,0.0,41.0,149,9
It's_gonna_be_awesome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1046.0,15362,3975
Itsminecookies,0.0,1.0,3591.0,8466.0,4254.0,479.0,0.0,6.0,9.0,1.0,0.0,0.0,0.0,0.0,6,0
Jacklamf1d14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,4216.0,5741.0,3832.0,4392,1024
Jane9306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,384,507
Jarl_Sverre,0.0,0.0,0.0,9.0,145.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,376.0,1213,218
Jarodalien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,20.0,50.0,19508.0,19292.0,27056.0,25509.0,2538,0
Jason22,0.0,0.0,103.0,2328.0,4836.0,2185.0,512.0,1749.0,4346.0,1239.0,1150.0,592.0,54.0,68.0,1451,106
Jasonzhuocn,0.0,706.0,2071.0,3535.0,5046.0,1768.0,3265.0,5225.0,1491.0,1196.0,1065.0,238.0,5957.0,3900.0,270,27
Jessicat830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572.0,106,79
Jimmy_Xu,0.0,0.0,0.0,0.0,0.0,506.0,9059.0,2797.0,4684.0,9322.0,8625.0,5485.0,4125.0,2158.0,71,3
Jimmy_wiki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,771,102
John123521,0.0,0.0,0.0,530.0,587.0,406.0,698.0,256.0,393.0,411.0,319.0,279.0,1671.0,2800.0,1475,240
John_doe_120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0,548,194
