,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1233,,,,,,,,,,,0.0,0.0,0.0,402.0,366,199
AT,,,,,10.0,282.0,3002.0,2316.0,3223.0,183.0,0.0,346.0,776.0,3169.0,4131,1622
Aa1388zz,,,,,,,,,,0.0,0.0,105.0,322.0,281.0,254,0
Abacn,,,,,,,,,,0.0,31.0,5.0,5.0,4.0,230,15
Adsa562,,,,,,,,,,0.0,0.0,20.0,52.0,32.0,33,54
Alexander_Misel,,,,,,,,,0.0,0.0,1.0,0.0,1214.0,1109.0,1060,166
Alexchris,,,,0.0,27.0,42.0,31.0,71.0,669.0,802.0,144.0,6.0,1.0,38.0,695,2
Alexsh,,,,2106.0,742.0,85.0,30.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,2,0
An_Macanese,,,,,0.0,4.0,194.0,229.0,153.0,43.0,50.0,34.0,2.0,8.0,7,0
AndyAndyAndyAlbert,,,,,,,,,,,,,,,1892,863
Antigng,,,,,,,,,,,,,4153.0,3376.0,2144,620
Aotfs2013,,,,,,,,,,,,142.0,243.0,329.0,2346,147
ArthurLau1997,,,,,,,,,,,,,,,192,181
Artoria2e5,,,,,,,,,,0.0,6.0,69.0,13.0,401.0,957,16
ArvinTing,,,,,,,,,,0.0,1.0,0.0,9.0,10.0,4,1
Asdfugil,,,,,,,,,,,,181.0,17.0,62.0,111,3
AsharaDayne,,,,,,,,,,,,111.0,604.0,120.0,38,48
B_dash,,,,,,,,,,,,0.0,307.0,1081.0,4879,961
BakaChinatsu,,,,,,,,,,,,,57.0,26.0,156,0
Baycrest,,,,0.0,577.0,987.0,158.0,96.0,24.0,15.0,54.0,4.0,0.0,100.0,106,10
Beta_Lohman,,,,,,,,,,,,,,99.0,93,73
Billytanghh,,,,3.0,435.0,8.0,0.0,4.0,5.0,1.0,0.0,2.0,1452.0,1318.0,204,34
Bluedeck,,,,,,,,,,2.0,979.0,2767.0,1840.0,549.0,6480,5096
Bowleerin,,,,,,,,,,,,,230.0,393.0,110,2
Bxxiaolin,,,,,,,,,0.0,0.0,33.0,246.0,366.0,276.0,343,81
Ch.Andrew,,,,,12.0,686.0,364.0,116.0,746.0,439.0,185.0,47.0,1.0,4.0,7,2
Chinuan12623,,,,,,,,,,271.0,500.0,512.0,42.0,437.0,715,88
Choihei,,,,,272.0,102.0,9.0,21.0,585.0,1696.0,1500.0,1250.0,470.0,2503.0,3015,1
Clear_Sky_C,,,,,,,,,,,,,2.0,1532.0,2103,0
CopperSulfate,,,,,,,,,,,,,,72.0,786,181
Cp111,,,,9.0,209.0,733.0,1244.0,946.0,825.0,514.0,391.0,208.0,411.0,411.0,397,101
Cwek,,,,,,,,0.0,453.0,3152.0,1937.0,2314.0,1680.0,2061.0,2429,546
Dargasea,,,,,,,,,,,,,0.0,21.0,375,0
Datou_1996,,,,,,,,,,,,,3.0,360.0,1006,38
Davidzdh,,,,,,,,,,0.0,152.0,224.0,113.0,57.0,47,6
DeBit,,,,,,,,,11.0,73.0,384.0,15.0,7.0,5.0,2,0
Dingruogu,,4.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,763.0,2.0,0.0,0.0,122.0,24,173
Dqwyy,,,,,,,,,,,,,,298.0,503,135
DreamLiner,,,,,,,,,,2.0,3248.0,1108.0,742.0,1469.0,117,1
